titulos;ano;nota;
Harry Potter and the Deathly Hallows: Part 2;-2011;9.2;
Ben-Hur;-1959;9.2;
Wild Strawberries;-1957;9.2;
The Third Man;-1949;9.2;
Gone Girl;-2014;9.2;
The General;-1926;9.2;
The Grand Budapest Hotel;-2014;9.2;
The Deer Hunter;-1978;9.2;
In the Name of the Father;-1993;9.2;
Barry Lyndon;-1975;9.2;
The Wages of Fear;-1953;9.2;
Klaus;-2019;9.2;
Hacksaw Ridge;-2016;9.2;
Mr. Smith Goes to Washington;-1939;9.2;
Sherlock Jr.;-1924;9.2;
Memories of Murder;-2003;9.2;
Wild Tales;-2014;9.2;
The Seventh Seal;-1957;9.2;
Room;-2015;9.2;
Mad Max: Fury Road;-2015;9.2;
Mary and Max;-2009;9.2;
How to Train Your Dragon;-2010;9.2;
The Big Lebowski;-1998;9.2;
Monsters; Inc.;-2001;9.2
Jaws;-1975;9.2;
Dead Poets Society;-1989;9.2;
The Passion of Joan of Arc;-1928;9.2;
Tokyo Story;-1953;9.2;
Hotel Rwanda;-2004;9.2;
Ford v Ferrari;-2019;9.2;
Rocky;-1976;9.2;
Platoon;-1986;9.2;
Stand by Me;-1986;9.2;
Spotlight;-2015;9.2;
The Terminator;-1984;9.2;
Logan;-2017;9.2;
Ratatouille;-2007;9.2;
Pather Panchali;-1955;9.2;
Rush;-2013;9.2;
Network;-1976;9.2;
Into the Wild;-2007;9.2;
The Wizard of Oz;-1939;9.2;
Before Sunset;-2004;9.2;
Groundhog Day;-1993;9.2;
The Exorcist;-1973;9.2;
The Best Years of Our Lives;-1946;9.2;
The Incredibles;-2004;9.2;
To Be or Not to Be;-1942;9.2;
The Battle of Algiers;-1966;9.2;
Jai Bhim;-2021;9.2;
Hachi: A Dog's Tale;-2009;9.2;
My Father and My Son;-2005;9.2;
La haine;-1995;9.2;
Pirates of the Caribbean: The Curse of the Black Pearl;-2003;9.2;
The Grapes of Wrath;-1940;9.2;
Amores perros;-2000;9.2;
Rebecca;-1940;9.2;
Cool Hand Luke;-1967;9.2;
Everything Everywhere All at Once;-2022;9.2;
The 400 Blows;-1959;9.2;
The Handmaiden;-2016;9.2;
It Happened One Night;-1934;9.2;
The Sound of Music;-1965;9.2;
Persona;-1966;9.2;
Life of Brian;-1979;9.2;
Dersu Uzala;-1975;9.2;
Aladdin;-1992;9.2;
The Help;-2011;9.2;
The Iron Giant;-1999;9.2;
Gandhi;-1982;9.2;
